0.62409,0.085596,1.7567,0.029382,0.09301,1.7172,0.038015,0.56197,0.50591
0.59991,0.086746,1.6013,0.029195,0.091095,1.5939,0.034025,0.54042,0.46852
0.64364,0.09903,1.4808,0.028943,0.091489,1.8423,0.030503,0.43295,0.46798
0.5526,0.086268,1.7114,0.0311,0.074474,1.5603,0.038222,0.49046,0.53804
0.64108,0.095533,1.8301,0.027262,0.096074,1.3755,0.036488,0.507,0.55953
0.61072,0.090639,1.349,0.034043,0.082447,1.561,0.03582,0.46993,0.53233
0.63663,0.10216,1.7533,0.030699,0.089995,1.5869,0.038625,0.596,0.53017
0.49208,0.080635,1.4421,0.030859,0.091402,1.5679,0.033666,0.56262,0.51363
0.64635,0.085481,1.5528,0.025047,0.094277,1.6343,0.033159,0.45121,0.54109
0.5941,0.089331,1.6894,0.030698,0.096821,1.4366,0.029482,0.46119,0.51198
0.65943,0.088869,1.6789,0.032814,0.10679,1.4683,0.033736,0.52148,0.54838
0.7132,0.080054,1.6026,0.02856,0.094748,1.635,0.034426,0.5377,0.5376
0.61605,0.10342,1.5535,0.03385,0.098697,1.9776,0.038946,0.51528,0.44725
0.68664,0.085496,1.6953,0.03134,0.092808,1.8226,0.036981,0.49353,0.4494
0.66944,0.086146,1.7562,0.035756,0.087312,1.6772,0.030867,0.48126,0.55467
0.62337,0.091636,1.7544,0.032647,0.10012,1.7448,0.033044,0.4117,0.56544
0.50947,0.08944,1.5784,0.033979,0.08636,1.6452,0.031258,0.54659,0.50745
0.59076,0.090655,1.8113,0.02885,0.095536,1.5702,0.036723,0.55556,0.45552
0.50816,0.096277,1.5049,0.02648,0.099257,1.626,0.0332,0.42087,0.49614
0.53453,0.082984,1.74,0.034873,0.10428,1.5748,0.0355,0.4955,0.49124
0.71641,0.081385,1.5889,0.02962,0.08703,1.8169,0.034517,0.4393,0.46412
0.56938,0.093941,1.8343,0.026705,0.090728,1.7363,0.039388,0.48045,0.47845
0.6711,0.088144,1.5257,0.02815,0.089264,1.8218,0.037902,0.53661,0.4321
0.63396,0.086533,1.4664,0.027721,0.10371,1.6806,0.032876,0.46882,0.55231
0.71441,0.090382,1.5268,0.026992,0.087701,1.763,0.031923,0.57628,0.50167
0.66382,0.10487,1.3472,0.024804,0.089144,1.6205,0.035976,0.53571,0.53626
0.61109,0.098635,1.532,0.029012,0.085672,1.818,0.035697,0.59287,0.49749
0.56896,0.091098,1.6538,0.028693,0.085962,1.6769,0.032118,0.4669,0.55945
0.5474,0.08233,1.55,0.032153,0.08955,1.8614,0.033774,0.54393,0.4603
0.68523,0.081994,1.7981,0.027057,0.097849,1.6994,0.040517,0.51393,0.55022
0.58829,0.10657,1.6793,0.033388,0.10149,1.8676,0.039383,0.46423,0.53722
0.63541,0.084631,1.6818,0.032505,0.092147,1.7387,0.036173,0.49205,0.52153
0.63448,0.08681,1.8446,0.02822,0.08538,1.4393,0.030979,0.45036,0.50444
0.51177,0.086377,1.7357,0.031693,0.088311,1.4171,0.03514,0.48279,0.53516
0.52502,0.072795,1.6034,0.035425,0.086638,1.8536,0.036024,0.57207,0.54039
0.51162,0.091797,1.8024,0.027882,0.080272,1.6571,0.033694,0.47619,0.42899
0.64821,0.091913,1.8896,0.025652,0.088231,1.7108,0.030854,0.49245,0.48157
